Company,N_Stacks,N_Followers,N_Votes,N_Companies,N_Developers,N_Integrations,Negative,Neutral,Positive,Compound,Z_N_Stacks,Z_N_Followers,Z_N_Votes,Z_N_Companies,Z_N_Developers,Z_N_Integrations,Z_Negative,Z_Neutral,Z_Positive,Z_Compound,SOCIAL_SCORE,BUSINESS_ADOPTION,SENTIMENT_SCORE,SCORE
LaunchTrack,1.0,4.0,0.0,,,,,,,,-0.15317026516320478,-0.16124024889829544,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1553885067096789,0.0,0.0,-0.007769425335483946
Apphud,2.0,3.0,0.0,,,,,,,,-0.15260512317513275,-0.16212450068407638,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15551615062876248,0.0,0.0,-0.0077758075314381244
Payola,0.0,4.0,0.0,,,,,,,,-0.15373540715127681,-0.16124024889829544,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15561456350490774,0.0,0.0,-0.007780728175245387
Braintree-Metrics,1.0,3.0,0.0,,,,,,,,-0.15317026516320478,-0.16212450068407638,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1557422074239913,0.0,0.0,-0.007787110371199566
expiry-io,0.0,3.0,0.0,,,,,,,,-0.15373540715127681,-0.16212450068407638,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1559682642192201,0.0,0.0,-0.007798413210961006
Pay-Pad,0.0,3.0,0.0,,,,,,,,-0.15373540715127681,-0.16212450068407638,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1559682642192201,0.0,0.0,-0.007798413210961006
linelytics,0.0,3.0,0.0,,,,,,,,-0.15373540715127681,-0.16212450068407638,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1559682642192201,0.0,0.0,-0.007798413210961006
EmailHooks,0.0,2.0,0.0,,,,,,,,-0.15373540715127681,-0.16300875246985733,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15632196493353248,0.0,0.0,-0.007816098246676624
Uviba,0.0,2.0,0.0,,,,,,,,-0.15373540715127681,-0.16300875246985733,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15632196493353248,0.0,0.0,-0.007816098246676624
Skio-Subscriptions,0.0,2.0,0.0,,,,,,,,-0.15373540715127681,-0.16300875246985733,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15632196493353248,0.0,0.0,-0.007816098246676624
ProsperStack,0.0,2.0,0.0,,,,,,,,-0.15373540715127681,-0.16300875246985733,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15632196493353248,0.0,0.0,-0.007816098246676624
per-activity-based-billing,0.0,2.0,0.0,,,,,,,,-0.15373540715127681,-0.16300875246985733,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15632196493353248,0.0,0.0,-0.007816098246676624
Placetopay,1.0,1.0,0.0,,,,,,,,-0.15317026516320478,-0.1638930042556383,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15644960885261605,0.0,0.0,-0.007822480442630803
Bilr,0.0,1.0,0.0,,,,,,,,-0.15373540715127681,-0.1638930042556383,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15667566564784488,0.0,0.0,-0.007833783282392244
Space-Invoices-API,1.0,0.0,0.0,,,,,,,,-0.15317026516320478,-0.16477725604141924,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15680330956692845,0.0,0.0,-0.007840165478346423
Maakyo,0.0,0.0,0.0,,,,,,,,-0.15373540715127681,-0.16477725604141924,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15702936636215725,0.0,0.0,-0.007851468318107863
